concept_id,category_id
65,966
24,83
24,84
24,88
24,96
24,97
24,89
24,87
24,90
24,95
24,177
24,628
24,627
24,630
24,631
24,633
24,635
24,634
24,637
24,641
24,640
24,642
24,639
24,643
24,629
24,646
24,649
24,651
24,648
24,654
24,652
24,655
24,657
24,659
24,660
24,661
24,636
24,645
24,647
24,666
24,663
24,665
24,667
24,672
24,653
24,673
24,669
24,658
24,675
24,676
24,677
24,678
24,664
24,681
24,670
24,684
24,685
24,671
24,691
24,689
24,687
24,693
24,690
24,695
24,696
24,679
24,697
24,699
24,683
24,682
24,702
24,688
24,705
24,703
24,707
24,709
24,708
24,712
24,713
24,711
24,694
24,715
24,714
24,717
24,718
24,701
24,700
24,719
24,721
24,720
24,706
24,725
24,726
24,724
24,723
24,729
24,727
24,730
24,731
24,732
24,736
24,733
24,738
24,735
24,737
24,739
24,741
24,742
24,743
24,747
24,749
24,744
24,745
24,748
24,750
24,753
24,754
24,751
24,755
24,756
24,757
24,760
24,761
24,762
24,763
24,765
24,759
24,766
24,767
24,768
24,769
24,771
24,773
24,774
24,775
24,777
24,772
24,779
24,780
24,781
24,778
59,417
59,416
25,85
25,86
27,93
32,103
60,418
60,944
62,945
63,946
47,181
47,183
47,184
47,185
47,186
47,189
47,191
47,187
47,192
47,195
47,188
47,182
47,193
47,190
47,194
66,967
26,91
26,92
31,98
31,100
31,101
28,102
28,94
28,178
28,179
28,180
28,345
28,925
61,788
61,790
61,795
61,798
61,800
61,802
61,801
61,789
61,803
61,812
61,818
61,819
61,808
61,822
61,806
61,832
61,833
61,834
61,837
61,836
61,842
61,843
61,845
61,848
61,849
61,850
61,851
61,830
61,844
61,846
61,792
61,852
61,797
61,804
61,796
61,854
61,858
61,821
61,831
61,857
61,860
61,862
61,861
61,863
61,794
61,840
61,864
61,866
61,867
61,868
61,869
61,791
61,856
61,855
61,870
61,874
61,873
61,820
61,838
61,875
61,880
61,872
61,807
61,813
61,810
61,881
61,882
61,815
61,814
61,816
61,876
61,878
61,885
61,879
61,886
61,809
61,826
61,825
61,884
61,839
61,888
61,890
61,892
61,893
61,899
61,906
61,900
61,910
61,909
61,887
61,916
61,917
61,896
61,933
61,902
61,905
61,903
61,937
61,911
61,929
61,912
61,904
61,824
61,924
61,827
61,930
61,942
61,828
61,918
61,941
61,921
61,923
61,927
61,928
61,931
61,934
61,935
61,936
61,943
61,962
61,963
61,965
61,891
61,964
61,894
61,897
61,898
61,908
61,914
61,939
61,915
61,940
61,922
61,920
39,151
39,154
39,155
39,152
39,153
39,156
39,140
39,139
39,348
15,50
15,54
15,58
15,60
15,61
15,59
38,136
38,137
38,138
38,347
41,159
41,160
41,162
41,161
42,165
42,166
42,163
42,164
43,167
43,168
43,169
43,170
44,173
44,172
44,174
44,171
45,175
45,230
45,231
45,947
48,196
48,244
48,245
48,246
48,247
48,248
48,249
48,949
48,950
48,951
48,954
48,953
48,956
48,957
48,958
48,955
48,952
40,142
40,145
40,141
40,147
40,148
40,144
34,110
34,112
34,346
51,232
51,233
51,234
51,235
51,236
51,237
51,238
51,240
51,239
51,241
51,242
51,243
51,948
51,968
33,104
33,105
33,107
33,108
33,109
33,113
33,114
33,149
33,150
33,158
33,157
33,146
49,199
49,201
49,200
49,202
49,203
49,972
1,351
1,350
7,204
3,197
3,198
3,419
3,970
8,123
9,131
9,121
9,128
9,356
9,969
10,115
10,122
11,116
11,124
35,117
35,125
35,118
35,229
50,216
50,221
50,222
50,223
50,226
50,224
50,228
50,227
50,225
50,220
50,218
50,219
50,215
50,217
2,135
2,213
2,214
2,212
2,353
2,352
36,120
36,126
36,127
36,129
36,119
36,132
36,205
36,207
36,210
36,208
36,206
36,355
36,420
36,354
36,421
36,369
6,130
6,211
20,71
20,78
20,69
20,77
20,70
20,290
20,292
20,291
21,73
21,74
21,76
21,75
54,278
54,279
54,277
53,273
53,274
53,275
53,276
67,991
19,72
19,64
19,66
19,65
68,997
56,294
56,293
56,358
22,79
55,282
55,283
55,285
55,284
52,271
52,272
52,257
52,359
52,270
52,269
18,63
18,62
18,209
18,258
18,259
18,260
18,261
18,262
18,286
18,288
18,287
18,289
18,360
23,80
23,82
23,81
23,250
23,254
23,252
23,256
23,280
23,253
23,251
23,255
23,361
23,263
23,265
23,264
23,266
23,267
23,268
23,281
23,994
23,1000
23,1005
23,959
16,51
64,960
17,52
17,53
82,1032
76,1021
76,1022
76,1023
76,1025
76,1024
81,1031
87,1041
83,1036
88,1042
90,1050
77,1026
77,1045
77,1046
73,1018
73,1034
84,1037
71,1016
70,1012
70,1035
89,1044
80,1030
80,1029
69,1011
69,1014
69,1013
69,1015
78,1027
75,1020
75,1033
86,1039
72,1017
72,1040
79,1028
79,1043
79,1047
79,1048
79,1049
74,1019
